t00_B_Rep3_OR9	t00_B_Rep3_OR8	t00_C_Rep3_OR8	t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep2_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR8	Student's T-test Significant Syn_Cond1_Syn_Cond2	Student's T-test significant	Student's T-test p-value Syn_Cond1_Syn_Cond2	Student's T-test q-value Syn_Cond1_Syn_Cond2	Student's T-test Difference Syn_Cond1_Syn_Cond2	Student's T-test Test statistic Syn_Cond1_Syn_Cond2	Name
25.8697242736816	25.9653167724609	25.542293548584	26.0236854553223	25.8829879760742	25.860559463501	26.0614356994629	26.1913909912109			0,30569130144598	0,786094579953638	-0,148838520050049	-1,11959917601848	CON__ENSEMBL:ENSBTAP00000016242;P68363;A6NHL2;Q9H853
20.8398036956787	21.2104244232178	19.8773937225342	21.379695892334	20.8346729278564	20.4280376434326	20.5996704101563	20.8820991516113			0,703385833648552	0,936791683253394	0,140709400177002	0,399459172754586	CON__P02769
23.1902656555176	23.6973209381104	23.4164371490479	23.1872482299805	23.1946659088135	23.2093181610107	23.4564723968506	23.7234687805176			0,898160853917372	0,98544543458696	-0,0231633186340332	-0,133502921424371	CON__P15636
27.4414043426514	27.5426292419434	27.2618827819824	27.3635921478271	27.25905418396	27.5049800872803	27.6348991394043	27.4060916900635			0,639630206452893	0,921904294267017	-0,0488791465759277	-0,4928554931379	CON__P60712;P60709
17.7571697235107	17.8254585266113	15.9162120819092	17.3348636627197	17.4764041900635	17.597375869751	16.3418216705322	18.0459251403809			0,793451289162951	0,963086792583771	-0,156955718994141	-0,273757179207104	O00116
15.2660875320435	17.0371589660645	16.2593517303467	16.9723529815674	15.1243839263916	13.7991943359375	16.1158695220947	16.8099021911621			0,277999157401557	0,775194175333238	0,921400308609009	1,19272967531009	O00139;O14713
21.2184009552002	21.1811542510986	21.3867359161377	21.0937423706055	21.4416027069092	21.5104274749756	21.4270133972168	21.3595199584961			0,0205546488877615	0,142620414651047	-0,214632511138916	-3,1211554802221	O00148
19.0029067993164	19.0851268768311	18.7871360778809	18.5698909759521	19.2065505981445	18.8658695220947	18.6931381225586	18.8930988311768			0,74613479562469	0,9552372137255	-0,0533990859985352	-0,339034460470942	O00151
20.4236068725586	20.6134777069092	21.0086307525635	20.6393222808838	20.6604595184326	20.0971851348877	20.2583236694336	20.375244140625			0,106592874829781	0,498289541478121	0,323456287384033	1,8971318236854	O00154
15.615629196167	15.055474281311	15.860297203064	16.6139812469482	15.9327344894409	16.1277122497559	16.8290748596191	16.2544212341309			0,232571433017438	0,730371911260032	-0,499640226364136	-1,32764390058303	O00165
19.342321395874	19.1412715911865	18.9021511077881	19.206148147583	19.4311466217041	19.3056221008301	19.6102485656738	19.570104598999			0,0282913945563205	0,190455260374889	-0,331307411193848	-2,87365750189931	O00170
16.4059753417969	16.461763381958	16.8193302154541	15.1480197906494	15.487114906311	15.6911945343018	16.8343944549561	16.7148342132568			0,959091942948441	0,998433282899284	0,0268876552581787	0,0534717710741957	O00178
14.8539190292358	18.8228778839111	18.5682392120361	18.4359245300293	18.4942245483398	18.9660568237305	15.8829011917114	18.427770614624			0,823869172185022	0,966679143498706	-0,27249813079834	-0,232511109967108	O00182;Q3B8N2;Q6DKI2
18.717658996582	18.7832183837891	18.3866539001465	18.8166236877441	15.3858251571655	14.5664587020874	17.0832176208496	16.7307224273682	+	Syn_Cond1_Syn_Cond2	0,00369652825664495	0,0321313610000677	2,73448276519775	4,59883838596676	O00193
20.2979774475098	20.4845657348633	20.4240684509277	20.8612785339355	20.4673919677734	20.3576011657715	20.4290294647217	20.2080669403076			0,301508234566837	0,786008494557898	0,151450157165527	1,13027655939672	O00231
19.2021064758301	19.3642559051514	19.3707809448242	19.2373790740967	19.01735496521	19.0632572174072	18.9638042449951	19.4067420959473			0,148257412744945	0,594192327669039	0,180840969085693	1,65865559075868	O00232
15.6200227737427	18.3924674987793	16.4394721984863	18.5790557861328	18.4081268310547	18.5066928863525	18.4092693328857	18.5226306915283			0,150244335074091	0,595705609241134	-1,20392537117004	-1,64899137528714	O00233
15.6169147491455	17.6476440429688	17.7243385314941	17.7389755249023	17.8207321166992	15.8634099960327	15.9947595596313	16.336893081665			0,363298435673549	0,825251246992173	0,678019523620605	0,983596523127857	O00264
