Name	t00_A_Rep3_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR9	t00_B_Rep1_OR8	t00_C_Rep1_OR8	t00_A_Rep3_OR9	t00_A_Rep1_OR9	t00_B_Rep2_OR8	t00_B_Rep1_OR9	t00_B_Rep3_OR8
O43143	NA	20.549549966626923	20.766119832127718	20.584779540980172	20.447818871606405	19.917566508200334	20.751025166164307	NA	NA	20.789961085646866	20.02866985485029	21.03488659634705
O43169	NA	NA	NA	NA	20.12682654521915	NA	NA	NA	21.31545357680816	NA	NA	NA
O43172	NA	17.04706682960882	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.26266288816395
O43175	19.75914360239359	20.972714742729572	20.87396215117358	21.011975793158737	20.839289123369916	20.60740857846777	21.248142544764807	20.66135512809652	NA	20.665981488702677	20.770272079513393	21.05340569030144
O43242	NA	19.014307988822587	18.60937007636114	18.927258104857522	18.508213655056075	NA	18.99556816037521	19.311069332269092	NA	18.740364464146353	19.92316218753101	19.393767565174855
O43252;O95340	NA	18.927081974744734	NA	NA	NA	NA	18.428741157856887	NA	NA	NA	NA	18.56808144201322
O43324	NA	18.806262550031843	18.023424765491885	18.562154500832527	18.11146579669542	NA	18.18459074229946	NA	NA	NA	NA	18.604978848984782
O43390	21.476449555647573	21.391628174931267	21.10130114482684	21.01190852680876	20.94534886642649	21.276919616091273	21.38147334544402	21.014649932126584	NA	21.117946956303577	20.98341263570027	21.325154609628
O43396	NA	18.285909866464422	18.704186837001956	17.85344072488181	NA	NA	17.13143958806902	NA	NA	18.445729398837287	NA	18.463420736284437
O43399	NA	17.62528706753754	NA	17.909458171081685	18.272715389466065	NA	17.78431136726591	NA	NA	17.969472833870704	NA	17.69261871182022
O43447	NA	17.79545146445109	18.89609245474125	17.808419569633685	17.885988520250955	17.739768798941746	17.63769738031273	NA	NA	17.10607254376962	NA	16.899991397112924
O43488;Q8NHP1;O95154	NA	18.94714986585602	18.60835215346486	18.523456855932317	18.813996980291726	NA	18.502371891787345	NA	NA	18.922252732017505	NA	19.06169103829892
O43504	NA	17.057073104475613	NA	NA	NA	NA	NA	NA	NA	18.758444726988095	NA	16.681643571736767
O43592	NA	17.76228595006063	16.87184295838094	17.401004386284036	17.05030731074352	NA	17.313903203611883	NA	NA	NA	NA	17.494468165057828
O43615	NA	17.551681639103947	17.221720624162494	17.511859139921413	17.55901581686554	NA	NA	NA	NA	17.502630903059377	NA	17.526155670300213
O43617	NA	16.94592173999426	17.59746117723062	NA	NA	NA	NA	NA	NA	NA	NA	16.988064837616232
O43665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.76355994100162
O43681	NA	17.926605164598904	17.112076804535253	17.89686624302599	17.753585463595904	18.174974811978185	NA	NA	NA	17.88135027701108	17.452036286185	17.956871095810687
O43684	19.135573112144034	19.191056294521296	20.06126675305064	19.799593438283665	19.395782057628416	18.72432264103546	19.48147552104735	NA	NA	19.061690328729398	19.276684958480324	19.067848582036017
O43707;Q08043;P35609	NA	20.004376185615943	19.53615599956551	19.87391117203055	19.90954629397263	18.573076867839237	19.749268474109996	NA	NA	19.278050336975937	19.93020480014291	19.930053041740756
O43719	NA	17.150230914142842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43747	NA	NA	18.880388355424593	16.980862328091177	NA	NA	NA	NA	NA	NA	NA	16.308596897147236
O43765	NA	19.101989328356904	18.03093676712898	18.97673255186736	19.27337284628459	NA	19.374621912416263	NA	NA	18.837848032730804	NA	19.309499105180052
O43776	NA	18.90213038218307	20.985901895329064	18.40629567547005	18.41846237201846	NA	19.31025824563469	NA	NA	19.042974991381328	NA	19.287688848458185
O43795;Q9UBC5	NA	NA	16.075337554920633	NA	NA	NA	NA	NA	NA	NA	NA	NA
O43809	NA	19.547966365354004	19.173670294942198	19.09920437568026	18.611770710465528	NA	18.994285954655297	NA	NA	19.436468157973927	NA	18.936380356079862
O43837	NA	17.951817646633014	18.350903958739522	NA	NA	NA	18.27294058730901	NA	NA	NA	NA	18.376671866472446
O43847	NA	18.048187483034543	NA	18.292216653089135	NA	NA	18.189734378983136	NA	NA	20.27398704048052	NA	17.60553865693317
O43852	NA	17.66489484248742	17.727425336619774	NA	NA	NA	17.121882051998444	NA	NA	NA	NA	17.84196502290848
O60216;Q9H4I0	NA	16.534122145876726	17.893616614061855	NA	NA	NA	16.325539555284077	NA	NA	NA	NA	NA
O60234	NA	19.585165484326577	19.69779855764366	19.958112576870032	NA	19.61296328560302	19.309614060718772	NA	NA	19.571898991509023	NA	19.607269188489127
O60256	NA	16.19953193262138	NA	15.62246193126058	15.464730906559582	NA	NA	NA	NA	NA	NA	NA
O60264	NA	17.97940939530358	19.17838479526034	18.35048984719988	18.62882543824074	NA	17.453639827217568	NA	NA	18.664378465319857	17.840882580307103	17.538960739934627
O60341	NA	17.50687947948869	18.891742515818645	17.410179990443424	17.29471749794593	NA	NA	NA	NA	NA	NA	17.717626792034416
O60488	NA	NA	NA	NA	16.797473611829012	NA	NA	NA	NA	NA	NA	17.4449669794251
O60493	NA	17.045896523285556	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.869668724505484
O60506	NA	19.57894195897516	19.32575406713762	19.59926825718296	19.697338470965718	19.93885879894978	19.53128219748431	NA	NA	19.707130630498206	19.957919891340943	19.617418205104457
O60508	NA	16.129203999927167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60610	19.324097819007875	20.100980147040556	19.954548862350357	19.846532067240844	20.396471991606184	20.59109276385421	19.64860576395568	NA	NA	20.323646201544143	20.002503166495888	19.992646144022075
O60664	NA	17.742857231702004	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.040189126785965
O60684;O15131	NA	NA	17.312969686528447	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60763	NA	16.81487636601752	16.847773886191632	NA	NA	NA	16.932364769407776	NA	NA	17.011621607902313	NA	NA
O60832	18.231818258303424	17.456536899255337	17.887842361643216	17.695820902826046	NA	NA	16.87395453855486	NA	NA	NA	NA	17.586524046966684
O60841	NA	18.168269346698697	18.38888870704964	18.21255642991062	NA	NA	18.07711330336379	NA	NA	NA	NA	17.988118504315427
O60880	NA	17.970493403966756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O60884	NA	18.52252968422112	17.652781385571497	NA	NA	NA	18.195557246709537	NA	NA	18.818666619527185	18.472969084149447	18.739852186354515
