Name	t00_B_Rep3_OR9	t00_B_Rep3_OR8	t00_C_Rep3_OR8	t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep2_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR8
O00410;O60518	21.30774347359008	21.201929608795215	21.306513289999128	21.273505093852403	21.26334648203565	21.31807330427027	21.01170670893882	21.253726374773258
O00425	17.338870947456577	17.667906690581752	18.051025319201017	17.69001196730707	17.934320694928513	17.722620578836146	NA	17.855297872569082
O00429	16.883327828001356	17.63586129081092	16.288191184318535	16.75160977662468	17.001109041021056	16.670927344654654	16.47014864449234	NA
O00483	NA	NA	NA	16.954645631324095	NA	16.530877657844275	NA	NA
O00487	18.39540133441424	18.194204408854297	18.744374217204953	18.721847336816612	19.175265952439883	19.179722000715905	NA	18.914471950970324
O00505	17.94623947886781	17.553177472356285	17.288578347995696	18.158923568635448	18.01288620879741	18.16223288028909	17.551716580377764	17.857713233991944
O00567	18.954979707821042	19.51262047048067	19.658391006281292	19.43135050209794	19.51079030356771	19.6057816459504	19.185209414582083	20.183016055659962
O00571;O15523;Q9NQI0	19.768747423077127	19.439463007580596	19.498169621532178	19.484126256873317	19.722400437304408	19.8804269968986	19.650047469220347	19.736251861713882
O00743	17.86843848745366	17.18828397821131	17.781639196479325	17.258905783755512	17.488762637846825	17.48074560010562	17.504687231670076	17.217370959555446
O14497	NA	17.094588981027155	NA	NA	16.889952927849034	NA	NA	NA
O14561	18.69543207111393	17.80125007505839	19.053849130394735	17.26562834791867	17.646739454379787	18.280015160127494	18.58316871339813	NA
O14579	17.15315930623381	17.70644960234834	NA	16.034854444577434	18.07161817517573	16.586565314613807	17.000630819564726	19.796097571189158
O14602	NA	18.107787933997205	18.086526521576648	17.839013312383432	18.258344926870674	NA	18.61954065220922	17.120928629021307
O14646	17.64414016412193	NA	17.72555317114936	17.33497512025471	17.875751983679404	17.769637205337634	NA	NA
O14662	NA	NA	15.692647147220828	NA	NA	NA	NA	NA
O14737	19.53345374534204	19.35440461572882	19.069499694867574	19.78788516301623	19.693404826295296	19.505261163978098	19.632426573935483	19.534004201586214
O14744	19.876825432229456	19.52215846239642	19.344872528702354	19.380671043176292	19.37584166523755	19.518554597328556	19.53739423202855	19.3512278966921
O14745	20.815261888885885	20.264414283423722	20.25560789101966	20.622603389905233	20.267117688181877	20.60982461833196	20.450862239792947	20.854950331696713
O14757	NA	NA	NA	NA	15.681945934426647	15.655723654094464	NA	NA
O14776;Q5VWI1	NA	NA	NA	NA	17.198777435462215	17.255582417094573	NA	NA
O14818	20.413604036716087	20.918765223176553	20.80618364017983	20.991876096938874	20.770368628089965	20.832352019492948	20.840469202732514	20.81542406643812
O14929;REV__Q7LFX5	19.349009218329268	19.6420479167881	19.768562159092742	19.957461927369664	19.551544206854178	19.26965674943215	19.051204525258118	19.73405147958642
O14950;P19105;P24844	18.975322614543977	19.374415379292905	19.526347860516914	18.948089473922124	19.709585390080807	19.25391237664995	18.903030870228662	19.132469950475944
O14974	NA	17.176181311867378	NA	NA	NA	NA	NA	NA
O14976	NA	NA	NA	NA	NA	15.471411639526675	NA	NA
O14979	19.20132346140839	18.985970277672898	NA	19.412384331439007	19.789724111557383	18.900200908815094	18.61763227841093	NA
O14980	18.95202655835797	18.684063951229717	19.82701989702886	18.708210687618358	18.917169063057102	18.912120376317972	19.004476492015232	18.440985406410896
O15042	17.23543626571167	NA	NA	NA	NA	NA	NA	NA
