Name	t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR8	t00_A_Rep1_OR8	t00_C_Rep1_OR8	t00_B_Rep3_OR8
P00387	NA	17.28694214733739	17.171898236738567	NA	NA	17.502004592585664
P00390	19.179421129803497	19.174284451330525	18.913283202289794	NA	19.597061261728932	19.38790166421728
P00403	NA	18.198909062216643	19.178417774183753	NA	NA	NA
P00441	20.88793279728228	21.066349289011672	21.271886946889495	21.407439359995532	21.28093751639897	21.30784462588834
P00491	20.242342246021447	20.277749547162625	20.832672612350322	NA	20.289892279336108	20.303754008944416
P00492;Q9NRG1	19.244493081509432	19.43701014114556	19.79042645450426	NA	19.1033680322094	19.598683569985315
P00505	19.189038354266735	19.270002284915677	19.043328985984424	NA	19.16563555880139	19.163049571945603
P00558	24.029001970910205	24.458618042553233	24.25327126872215	23.859231056184537	24.169380296762668	24.41373538103538
P00813	22.80303629918347	23.024010928978402	23.043674380128536	21.006232476318658	23.227232123543427	23.268921542529192
P01111;P01112;P01116	NA	17.20403316091371	NA	NA	NA	NA
P02786	20.6500743756098	20.550065982742428	20.835460575326575	NA	20.22566791803316	20.609573339608648
P04040	17.26836147711741	17.197636166924802	NA	NA	NA	NA
P04075;P05062	23.545653206815697	23.244978710912626	23.343639824474394	23.177940666508302	23.4556016340501	23.53112744812531
P04080	19.593175772592954	19.029929774880493	19.19737977495184	NA	19.140161489670803	19.238616854961332
P04083	19.570958765345626	19.873334856398618	19.78798572697892	NA	19.52176527828506	20.10281529395629
P04181	NA	16.068048476158665	17.750998187706823	NA	NA	NA
P04234	NA	NA	NA	NA	NA	17.323560530012884
P04406	24.19270377097312	23.90867042359546	23.849226943193386	24.061491194542317	23.999131643822306	23.94702795816201
P04439;P13746;P30443;P30455;P01893;P30501;P30505;P30508;Q07000;Q29960;Q29963;Q9TNN7;P04222;P30504;Q29865;P10314;P30459;Q09160;Q95604;P10321;P01891;P01892;P10316;P16189;P16190;P18462;P30450;P30453;P30456;P30457;P30512;Q31612;P01889;P03989;P10319;P18463;P18464;P18465;P30460;P30461;P30462;P30464;P30466;P30475;P30479;P30480;P30481;P30483;P30484;P30485;P30487;P30488;P30490;P30491;P30492;P30493;P30495;P30498;P30685;Q04826;Q29718;Q29836;Q29940;Q95365;P13747	19.35036847519477	18.58764739666775	18.681205762015434	NA	19.210380576386214	18.796170911856095
P04632;Q96L46	NA	16.96348601427741	NA	NA	NA	NA
P04818	19.755809627775786	19.08293086774799	18.273543689957606	NA	18.722835558194365	19.141280311462456
P04843	18.88141118920616	18.784675687823697	18.993572291750652	NA	18.633207857362542	18.453387857487186
P04899;P63096;P38405;A8MTJ3;P19087;P09471;P11488	19.810352231856537	19.827673045631148	20.158096106097446	NA	20.04782481965285	19.72717554412603
P04908;P0C0S8;P20671;Q7L7L0;Q93077;Q9BTM1;Q96KK5;Q99878	25.253029726315948	24.7639142679278	25.250768578088717	24.3705459651706	24.551858039774682	24.78566726749176
P05023;P13637	20.166978044628628	20.216656006920797	19.639061794239062	NA	20.05974957659048	20.14518411375127
P05141	21.984589574049476	21.990439431883775	21.855049708204756	21.623894692364615	21.93773182293195	21.980019123579314
P05161	NA	18.691176460672974	18.95376430143174	NA	18.75303245484401	18.31793531625193
P05198	20.329666596461514	20.137376890798073	20.31878885834541	NA	20.262193794058273	20.28738359462096
P05204	18.58833282527382	18.702547086417084	18.842774044252483	NA	19.167461740288985	18.933234104393943
P05386	20.352281147229856	NA	NA	NA	NA	NA
P05387	22.284162421716072	22.219335006612987	22.220039535567647	22.248883002190855	22.136309761577106	22.19877377094491
P05388;Q8NHW5	22.559576673681672	22.605336780816756	22.466404754819113	21.396650564084677	22.467273459808116	22.51971026103503
P05455	18.888133436325905	19.263304524320954	19.102979566773875	NA	18.992173173396786	19.02878210400265
P06132	NA	16.85362771877478	16.740745359330656	NA	NA	NA
P06239	18.40246583895469	17.873939517985637	17.59781687987894	NA	17.024120559061583	17.363245220607887
P06400	NA	17.693638371610298	18.34453403674177	NA	17.69919202112937	17.194716060575676
P06454	19.50494684729987	18.800115368951282	19.52789522662391	19.920061273855563	19.689882474920655	18.935879642449787
P06493	19.878875037938798	19.93824188669847	19.756113313576055	NA	19.774370103172416	19.90383687706422
P06576	23.56449453594281	23.57442996543555	23.557595796700053	22.109281471186097	23.470326834668928	23.617140623624316
P06730	18.110120456133334	18.021048578750772	18.338894941191732	NA	18.353818123117676	17.787747917160292
P06733	25.4688946115736	25.401860436653628	25.422303789442594	25.326510751961443	25.719429433361793	25.651695599845674
