Name	t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR8	t00_A_Rep1_OR8	t00_C_Rep1_OR8	t00_B_Rep3_OR8
O75506	NA	17.120370434998208	NA	NA	NA	NA
O75521	NA	16.612497556677027	NA	NA	NA	15.99550975491482
O75530	NA	16.328227561308474	16.700327716774193	NA	NA	NA
O75531	19.45466974739077	20.43308950999402	20.151387610636583	NA	19.95813754796596	20.323710677946966
O75533	19.99601231317189	19.948464993802702	19.798151181013008	NA	19.983252139606428	19.901405535403764
O75534	20.796740341377046	20.25080542062082	20.55458100453422	23.071101346176526	20.380278569041018	20.477145253276504
O75643	20.088839887761385	20.257777016607704	19.790620744838314	NA	19.987954758571718	19.826716409578296
O75663	18.044493952767066	18.249385851723993	17.973711154782904	NA	17.942690131721825	17.717200657787206
O75694	NA	16.975756018149397	17.56657027947088	NA	NA	16.189116131628637
O75717	NA	16.565459910568784	NA	NA	NA	NA
O75746	NA	NA	NA	NA	NA	NA
O75791	16.772868223317126	17.230481080645482	17.96045943684337	NA	17.256656687050388	17.416103808410178
O75792	22.351185029243606	20.52631555706987	21.738083126993846	NA	20.01558987635036	20.423903949178264
O75794	20.15672822991258	20.35554832949512	20.31477832037882	NA	17.63894571760845	17.70571897481939
O75821	18.410200840556424	18.71660116169665	18.915576708725997	NA	18.849997764283096	18.423488212589085
O75822	NA	17.662450586695194	NA	NA	NA	NA
O75874	19.964506778797702	19.93284259174107	19.63316311668678	NA	20.105380874416653	19.85207918288304
O75915	NA	15.714864331531263	NA	NA	NA	NA
O75934	NA	16.602574813349463	NA	NA	NA	NA
O75937	NA	17.332380219646403	18.182433554159122	NA	17.66877395309013	NA
O75947	19.449023259933913	19.449033104804876	19.178853281456878	NA	19.455720512054242	19.34719737035557
O75964	19.259753814153985	19.2097138048943	19.366221439035563	NA	18.742471584299167	18.997293374353525
O76003	19.87270520084736	19.695221560465534	19.72220692231066	NA	19.501749699108238	19.85934282178173
O76021	18.250223139810544	18.36827354714348	18.71690304044773	NA	18.14328609227389	18.588653410832666
O76031	NA	17.430623811056343	NA	NA	NA	17.17595664147059
O76094	18.857925174915255	18.15214682051493	17.169254254779094	NA	17.658090509467286	18.241888649922338
O94776	19.28890501989335	19.44557723631432	19.529834088956946	NA	19.262856484286424	19.258854899846916
O94826	NA	NA	15.699454214378868	NA	NA	NA
O94874	NA	NA	NA	NA	NA	NA
O94888	18.34489389961706	18.374118053911303	18.178117158023806	NA	NA	NA
O94903	NA	17.526735392665294	17.902410207555402	NA	17.650924007344713	17.30416470490417
O94906	NA	17.379319198544323	NA	NA	NA	17.305626445691086
O94925	NA	17.74733766482091	17.120252354305098	NA	17.210588614941926	17.28850893794828
O94972	NA	NA	NA	NA	NA	NA
O94973	NA	NA	NA	NA	NA	NA
O95104	NA	NA	NA	NA	NA	NA
O95163	NA	16.34801735830854	NA	NA	16.460952662060826	NA
O95202	18.29130610523776	18.95495289184393	17.94959162619822	NA	18.324473207466845	18.55123167848276
O95232	17.293767932210528	16.705425656889155	NA	NA	NA	NA
O95319	18.464689905600423	18.59014158943549	17.975680256600267	NA	19.217240902209838	18.398886239356006
O95336	19.172444223221664	19.53724386281924	19.535444370329714	NA	19.415393867768636	19.630010367694968
O95347	19.564677823840825	19.604896231979254	18.994038028818146	NA	19.17937527304509	19.511603136247242
O95373	NA	NA	NA	NA	NA	NA
O95394	NA	NA	NA	NA	NA	NA
O95433	20.19431548012969	20.424854072244607	19.984046257160987	NA	20.455933886873282	20.441511805034644
O95453	16.531539239057633	16.940057793616262	17.20214300212443	NA	17.26261255168084	17.32830757955619
O95456	18.279325898858755	18.876284406011024	19.133100899661382	NA	18.46112274652051	NA
O95478	NA	16.084773878632255	NA	NA	NA	NA
O95747	17.75260312995188	17.433164162398413	18.55954914368439	NA	NA	17.791863348197804
O95757	17.72085938417729	17.561299238347424	17.833989174229735	NA	17.38256609775771	18.142811643276534
O95777	NA	18.394772733006747	NA	NA	NA	18.456219414421955
