Name	t00_A_Rep3_OR8	t00_C_Rep2_OR8	t00_C_Rep3_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR9	t00_B_Rep1_OR8	t00_C_Rep1_OR8	t00_A_Rep3_OR9	t00_A_Rep1_OR9	t00_B_Rep2_OR8	t00_B_Rep1_OR9	t00_B_Rep3_OR8
O00193	NA	18.39346886180183	18.94571137041901	NA	18.717045779299955	NA	NA	NA	NA	NA	NA	NA
O00231	NA	20.46739270822932	19.817393413812443	20.42902998960819	20.242263784944843	20.120775366814417	20.093336098256145	19.56938908828746	NA	20.208067461573435	20.121801770108043	20.484566148904527
O00232	NA	19.017355068600125	19.871137255156185	18.963803880149875	18.652195031741226	19.36674652725251	19.284009684411295	NA	NA	19.406742190063348	NA	19.364255411541453
O00233	NA	18.408126876390604	NA	18.40926979192963	NA	NA	18.19272878370898	NA	NA	18.52263147656177	NA	18.392467342992042
O00264	NA	17.820731692110115	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.647644568829644
O00267	NA	17.668741279524532	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.1740372879395
O00299;Q9NZA1;O15247	20.582938716190846	21.13860253488678	20.272412011625693	20.980013174921204	21.06849575772986	20.701034309890893	20.64423250717236	20.352120475786897	NA	20.97612485830853	20.606940044690198	20.9009078704839
O00303	19.21086889153124	20.063610719990123	20.62529721619707	19.79062585381842	19.958315416862504	20.306269056572226	19.947002298221186	19.40075457959537	NA	19.929985159675653	19.76518504289681	19.897276835079108
O00410;O60518	19.931146287126804	21.264400441436926	21.533274831694325	21.011572537219216	21.328336124273374	21.48290613710707	21.36036552644567	20.45427074719924	21.611758526830062	21.2528879129622	21.087721484848167	21.198787264685354
O00425	NA	17.935374654329785	17.944154104996223	NA	NA	NA	17.329182286369964	NA	NA	17.854459410758025	NA	17.66476434647189
O00429	NA	17.00216300042233	NA	16.47001447277274	NA	NA	NA	NA	NA	NA	NA	17.632718946701058
O00483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00487	NA	19.176319911841155	18.88067620346513	NA	NA	NA	19.32111231338152	NA	NA	18.91363348915926	18.472162735705044	18.191062064744436
O00505	NA	18.013940168198687	17.68545362166637	17.551582408658163	17.433624990023652	NA	17.644198460869966	NA	NA	17.85687477218088	NA	17.550035128246424
O00541;Q674R7	NA	NA	NA	NA	NA	NA	17.08448073009525	NA	NA	NA	NA	NA
O00567	20.356718193886543	19.521689283904422	18.97678084239412	18.732202557674427	20.010667056539496	20.600296290207478	19.47063865457943	NA	NA	20.1821775938489	NA	19.50947812637081
O00571;O15523;Q9NQI0	NA	17.303678175202926	NA	NA	NA	NA	19.713218786177826	NA	NA	19.735413399902818	NA	19.436320663470735
O00743	NA	17.4898165972481	18.77855262356995	17.504553059950474	NA	NA	17.26030423912298	NA	NA	17.21653249774438	NA	17.18514163410145
O14497	NA	16.891006887250306	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.091446636917293
O14561	NA	17.64779341378106	19.2742059541556	18.58303454167853	NA	18.207852562934487	17.93402693827113	NA	NA	NA	NA	17.79810773094853
O14579	NA	18.072672134577004	NA	17.000496647845125	18.59044749459288	20.98814398719979	17.506851543458822	NA	NA	19.7952591093781	19.252175673106834	17.70330725823848
O14602	NA	18.259398886271946	NA	18.619406480489616	NA	NA	17.624038800996928	NA	NA	17.12009016721025	NA	18.104645589887344
O14646	NA	17.876805943080676	17.9614122224877	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14737	NA	19.69445878569657	19.12711554049659	19.63229240221588	19.682052168745727	18.67493595749658	19.279589002308235	NA	NA	19.53316573977515	19.350603827963415	19.35126227161896
O14744	NA	19.376895624638827	19.353420649142613	19.537260060308945	19.860634089285554	20.27883207611824	19.21162287912049	NA	NA	19.350389434881038	20.016359439271188	19.519016118286558
O14745	20.882021040555575	20.268171647583152	20.568581802053888	20.450728068073346	20.439578751729986	20.662547169096104	20.429903411952154	21.110150855852545	NA	20.854111869885656	21.302622084897727	20.26127193931386
O14757	NA	15.68299989382792	15.313398684941044	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14776;Q5VWI1	NA	19.222663560530627	19.055773709220166	19.023365020078586	18.896573899379252	18.70527778779289	NA	NA	NA	NA	NA	NA
O14818	20.596076016997266	20.771422587491237	20.587587318233876	20.840335031012913	20.795578724616874	20.793572724809394	21.141827917561272	21.6966455917429	21.784684410490122	20.814585604627055	20.613714267159942	20.915622879066692
O14929;REV__Q7LFX5	20.26829783282878	19.55259816625545	18.58235889581873	19.051070353538513	19.053564299878374	19.440816201631854	19.516015690383362	NA	NA	19.733213017775356	19.152451982948225	19.63890557267824
O14950;P19105;P24844	21.79499974266571	21.99203191718898	21.928502358319843	21.995096787219687	22.084104250280756	21.94113241805652	19.357284627875586	19.44036805115197	NA	19.13163148866488	19.80943164553934	19.371273035183044
O14974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.173038967757517
O14976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14979	NA	19.79077807095866	NA	18.61749810669133	20.217099157960995	NA	20.48245546972968	NA	NA	NA	18.446874737903254	18.982827933563037
O14980	NA	18.918223022458378	20.179509430407226	19.004342320295628	18.65493663292403	18.643622135698454	18.506252262058275	NA	NA	18.44014694459984	20.65103191920015	18.680921607119856
O14981	NA	NA	15.005361728376222	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15067	NA	19.73312796693886	19.910316737261198	19.36956948813358	19.291568316457287	19.21198779514185	19.58935843168807	NA	NA	19.488243543344005	19.104080700957557	19.804720507459862
O15143	NA	18.96812520817835	18.151057504237425	18.505508828963002	18.6941854208112	18.922912936748777	18.57926161020179	NA	NA	18.894216428326224	NA	18.956413447878543
O15144	NA	18.376526884690264	18.264545534263025	18.459375932999073	18.69600802356876	NA	19.541282125988594	NA	NA	19.063128546698223	20.494103969882417	19.441726883139136
O15145	NA	18.920647742967837	21.902104368608658	18.9647215455146	19.08145196572861	18.766098231194423	18.992561872400096	NA	NA	18.887823360474385	18.979940479020737	19.167611481116722
O15160	21.35757559216166	20.19653681695106	19.218380968703816	19.749506599786677	19.296612952584706	19.90232116183216	NA	NA	NA	NA	NA	17.286681474672974
O15212	24.15423791779643	23.81649202434062	23.85376881297279	23.696862871399794	23.654833015797454	23.96098067701393	18.933163324248113	NA	NA	18.408636734053125	19.278392302768577	18.8500034364598
O15305	NA	17.156448847617348	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.63429375457155
