Name	t00_B_Rep3_OR9	t00_B_Rep3_OR8	t00_C_Rep3_OR8	t00_A_Rep2_OR8	t00_C_Rep2_OR8	t00_C_Rep2_OR9	t00_A_Rep2_OR9	t00_B_Rep2_OR8
O00303	20.142716637090867	19.897276835079108	20.870238017164993	19.574675231791016	20.063610719990123	20.03925139815194	19.79062585381842	19.929985159675653
O00410;O60518	21.30774347359008	21.198787264685354	21.30692505721678	21.26952916284251	21.264400441436926	21.319209107022203	21.011572537219216	21.2528879129622
O00425	17.338870947456577	17.66476434647189	18.05143708641867	17.686036036297175	17.935374654329785	17.723756381588075	NA	17.854459410758025
O00429	16.883327828001356	17.632718946701058	16.288602951536188	16.747633845614786	17.00216300042233	16.672063147406583	16.47001447277274	NA
O00483	NA	NA	NA	16.9506697003142	NA	16.532013460596204	NA	NA
O00487	18.39540133441424	18.191062064744436	18.744785984422606	18.71787140580672	19.176319911841155	19.180857803467838	NA	18.91363348915926
O00505	17.94623947886781	17.550035128246424	17.28899011521335	18.154947637625554	18.013940168198687	18.16336868304102	17.551582408658163	17.85687477218088
O00541;Q674R7	NA	NA	NA	NA	NA	NA	NA	NA
O00567	19.324078693462884	19.455038234476717	19.66583253820728	19.990831120016715	19.511844262968985	19.606917448702333	19.18507524286248	20.1821775938489
O00571;O15523;Q9NQI0	NA	NA	NA	NA	19.723454396705684	19.88156279965053	19.649913297500746	19.735413399902818
O00743	17.86843848745366	17.18514163410145	17.782050963696978	17.25492985274562	17.4898165972481	17.481881402857553	17.504553059950474	17.21653249774438
O14497	NA	17.091446636917293	NA	NA	16.891006887250306	NA	NA	NA
O14561	18.69543207111393	17.79810773094853	19.054260897612387	17.261652416908777	17.64779341378106	18.281150962879423	18.58303454167853	NA
O14579	17.15315930623381	17.70330725823848	NA	16.03087851356754	18.072672134577004	16.58770111736574	17.000496647845125	19.7952591093781
O14602	NA	18.104645589887344	18.0869382887943	17.83503738137354	18.259398886271946	NA	18.619406480489616	17.12009016721025
